Log file created successfully...
Initialization succeded
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 790 , size[23][2] = 394 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 793 , size[23][2] = 395 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 796 , size[23][2] = 396 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 799 , size[23][2] = 397 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 802 , size[23][2] = 398 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 805 , size[23][2] = 399 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 808 , size[23][2] = 400 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 811 , size[23][2] = 401 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 814 , size[23][2] = 402 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 817 , size[23][2] = 403 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 820 , size[23][2] = 404 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 823 , size[23][2] = 405 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 826 , size[23][2] = 406 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 829 , size[23][2] = 407 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 832 , size[23][2] = 408 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 835 , size[23][2] = 409 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 838 , size[23][2] = 410 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 841 , size[23][2] = 411 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 844 , size[23][2] = 412 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 847 , size[23][2] = 413 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 850 , size[23][2] = 414 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 853 , size[23][2] = 415 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 856 , size[23][2] = 416 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 859 , size[23][2] = 417 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 862 , size[23][2] = 418 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 865 , size[23][2] = 419 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 868 , size[23][2] = 420 
